21	21	11	11	3	11	24	9	12	8	2	10	16	13	21	7	5	15	1	14	19	6	23	18	4	20	17	22
10	10	11	11	1	17	18	2	7	5	3	13	15	9	10	11	16	22	14	8	6	23	21	4	12	20	24	19
6	6	11	11	12	4	8	1	24	5	2	22	9	21	6	20	10	15	7	11	14	23	19	3	17	18	16	13
2	2	11	11	3	10	18	1	17	20	5	14	22	8	2	13	16	15	23	24	6	7	19	9	11	4	21	12
12	12	11	11	11	5	20	13	21	1	2	9	6	16	12	15	8	14	4	7	18	23	3	10	24	19	17	22
21	21	11	11	13	18	17	7	23	11	22	10	3	9	21	24	8	2	20	6	15	4	19	14	12	16	1	5
13	13	11	11	21	7	9	2	22	3	5	17	20	4	13	8	6	23	18	15	11	1	16	12	24	10	19	14
13	13	11	11	5	11	17	20	14	9	15	19	6	22	13	3	8	1	4	16	7	23	18	24	12	2	21	10
21	19	11	13	18	17	6	12	9	10	11	4	14	13	21	20	19	8	16	22	3	2	24	5	15	7	23	1
13	7	11	16	8	5	10	3	20	16	24	11	21	4	13	1	14	9	22	7	2	6	23	12	18	19	17	15
19	4	11	4	1	17	2	4	8	13	15	14	9	22	19	10	3	24	23	7	11	6	18	5	20	16	12	21
1	6	11	2	18	6	9	2	20	19	13	17	11	15	1	5	10	14	21	7	12	3	8	24	4	16	23	22
11	11	11	11	21	4	17	13	7	22	16	8	1	20	11	12	3	9	15	19	14	5	24	10	2	23	18	6
13	19	11	6	5	20	22	9	4	19	14	16	23	11	13	10	8	21	6	2	3	1	18	24	12	17	7	15
14	14	11	11	20	8	18	16	11	22	3	5	24	13	14	1	7	19	2	12	9	6	4	15	23	21	10	17
7	17	11	17	23	4	6	2	9	24	18	11	20	22	7	1	8	14	12	3	17	21	15	16	10	19	13	5
3	3	11	11	13	18	20	22	4	8	24	10	21	16	3	1	7	23	9	6	12	19	14	11	2	17	15	5
14	14	11	11	16	13	23	12	15	6	3	17	8	19	14	2	18	11	1	5	24	9	20	4	10	21	7	22
15	8	11	6	20	9	2	3	16	8	14	19	5	18	15	6	11	22	24	17	4	23	10	13	12	21	1	7
9	9	11	11	19	17	12	21	5	24	23	14	20	7	9	10	18	11	15	6	1	4	22	3	13	8	2	16
18	18	11	11	5	1	2	7	24	17	11	3	8	4	18	13	21	10	9	16	23	22	12	15	20	19	14	6
10	14	11	16	11	19	22	1	21	12	5	2	16	3	10	13	15	18	6	14	23	9	24	4	8	20	17	7
5	5	11	11	12	9	15	8	16	14	4	6	7	19	5	20	22	23	2	3	10	24	18	13	11	17	21	1
6	6	11	11	7	15	3	18	10	12	19	9	4	20	6	8	11	17	2	22	14	24	23	13	5	16	1	21
10	18	11	7	1	12	7	17	21	24	18	5	19	14	10	11	23	4	16	2	20	3	13	9	6	8	22	15
15	15	11	11	21	22	8	2	11	20	6	10	18	4	15	13	1	7	12	19	16	3	23	9	14	17	5	24
22	22	11	11	24	4	21	23	11	1	20	18	9	8	22	7	17	19	5	10	16	12	14	13	6	2	15	3
9	9	11	11	6	10	12	13	3	1	8	16	5	20	9	14	19	24	23	15	4	11	18	22	2	7	21	17
11	11	11	11	12	3	13	14	10	6	7	17	19	23	11	16	15	9	8	2	5	24	4	22	1	21	18	20
24	24	11	11	10	6	13	20	11	23	17	14	5	2	24	1	15	18	19	3	4	7	12	9	22	21	16	8
4	4	11	11	22	17	23	3	24	5	2	19	6	10	4	14	16	15	9	20	21	12	1	18	8	13	11	7
12	12	11	11	16	23	5	17	19	2	15	13	10	11	12	6	3	7	9	1	8	18	20	14	22	21	4	24
21	21	11	11	10	15	19	24	5	12	4	20	22	1	21	8	6	11	3	23	7	17	18	14	9	16	2	13
4	4	11	11	11	6	8	15	17	10	16	1	13	23	4	7	14	9	18	24	5	2	21	3	12	22	19	20
20	15	11	2	18	15	14	19	1	12	10	5	3	8	20	16	9	17	23	21	24	2	13	7	6	4	11	22
18	18	11	11	2	9	17	8	5	22	23	10	24	12	18	19	1	6	20	14	4	13	3	7	15	11	21	16
12	12	11	11	10	5	9	17	11	15	16	22	8	23	12	7	1	13	24	4	20	14	2	18	6	21	19	3
23	3	11	16	7	13	4	12	24	19	5	21	9	6	23	15	8	1	22	3	10	20	2	17	14	18	11	16
18	18	11	11	21	6	10	11	20	5	9	2	24	14	18	8	1	22	7	19	15	13	23	3	17	16	12	4
4	4	11	11	10	24	19	22	8	18	15	21	11	16	4	1	17	5	6	13	7	3	20	14	2	23	12	9
4	4	11	11	22	9	14	20	6	15	23	13	12	5	4	1	10	19	18	11	21	2	17	16	24	7	8	3
18	5	11	23	9	6	15	3	22	2	11	16	13	8	18	20	12	23	7	14	19	24	17	10	1	4	5	21
12	12	11	11	13	23	3	20	15	4	10	5	1	18	12	22	6	2	17	11	9	24	8	19	7	21	14	16
10	10	11	11	7	5	15	24	4	22	17	23	13	12	10	8	21	11	19	1	18	14	9	6	20	2	3	16
5	5	11	11	24	17	14	12	11	23	7	1	22	6	5	15	16	4	21	9	20	3	18	10	19	2	8	13
4	4	11	11	21	8	15	23	24	7	18	10	22	5	4	16	9	3	20	11	12	1	17	13	14	19	6	2
4	4	11	11	7	10	20	24	17	22	14	11	1	15	4	9	2	8	12	3	13	18	16	23	6	5	19	21
6	16	11	7	10	14	19	23	18	24	16	12	1	7	6	20	3	15	21	2	8	22	13	9	17	11	4	5
3	3	11	11	14	16	1	8	23	24	21	17	12	18	3	10	20	4	19	5	7	13	2	9	11	15	6	22
11	10	11	5	24	13	21	14	10	1	4	16	9	15	11	17	7	18	5	22	6	2	8	3	12	20	23	19
24	24	11	11	1	15	7	14	18	9	4	3	5	12	24	21	19	6	2	22	17	23	11	20	10	13	8	16
3	3	11	11	23	13	10	20	14	19	11	16	2	21	3	17	15	24	6	7	12	9	18	8	22	1	5	4
8	8	11	11	5	12	4	23	19	15	14	21	22	13	8	3	6	11	1	7	24	20	9	10	2	18	17	16
7	7	11	11	14	24	21	4	19	16	20	18	3	11	7	23	13	10	1	2	12	9	8	5	15	17	6	22
5	18	11	18	16	3	20	22	2	19	8	21	4	24	5	6	12	13	17	15	9	18	11	10	14	7	1	23
3	12	11	22	21	10	23	9	20	19	7	17	2	4	3	1	15	18	14	16	5	22	11	13	8	12	6	24
10	24	11	8	20	6	16	23	8	2	3	24	11	1	10	22	17	15	5	12	9	18	21	13	7	14	4	19
4	22	11	13	16	17	1	5	13	23	21	2	7	12	4	18	22	9	8	10	19	3	6	14	11	15	24	20
12	24	11	5	7	22	14	10	24	1	15	4	18	17	12	3	16	6	11	20	5	23	9	19	8	2	13	21
17	18	11	21	10	9	1	8	23	13	20	12	6	24	17	7	22	15	19	2	16	3	14	4	18	21	11	5
12	12	11	11	21	18	2	15	24	11	22	5	9	16	12	17	3	4	6	13	20	8	23	1	10	14	7	19
6	6	11	11	24	14	10	9	8	18	21	4	5	16	6	2	22	3	12	15	20	23	7	11	19	1	13	17
13	13	11	11	22	12	24	11	4	7	16	10	23	2	13	6	5	18	1	21	20	9	17	15	3	19	8	14
23	23	11	11	15	20	3	16	5	7	10	2	19	14	23	4	17	13	11	6	8	9	24	18	12	22	21	1
2	2	11	11	16	17	24	10	23	21	7	15	9	5	2	11	13	6	12	4	18	3	22	19	1	8	20	14
13	12	11	12	24	4	6	10	20	7	15	17	19	3	13	12	14	23	9	2	21	11	18	5	8	16	1	22
6	6	11	11	22	13	9	15	12	16	5	17	3	8	6	18	14	10	24	1	20	19	21	4	23	11	7	2
4	4	11	11	15	18	22	19	21	17	8	3	9	11	4	1	23	7	20	2	13	10	6	24	14	5	16	12
15	15	11	11	8	2	22	1	3	17	14	12	21	19	15	18	4	20	10	23	6	11	5	13	16	24	9	7
