subject 	task 	staircase 	trialNum 	stimulusType 	monitorWidth 	monitorHeight 	stimSize 	ISI 	SOA 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
autoTest 	 dot-jump 	 False 	 0 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 12 	 -1.50218272469 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 True 	 10 	 10 	21 	5 	22 	1 	9 	23 	4 	8 	20 	24 	12 	13 	16 	7 	17 	14 	10 	19 	3 	15 	11 	2 	6 	18 	118
autoTest 	 dot-jump 	 False 	 1 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 18 	 5.60622225078 	 -1.50218272469 	 5.60622225078 	 -1.50218272469 	 5.60622225078 	 -1.50218272469 	 True 	 10 	 10 	16 	1 	24 	11 	15 	13 	21 	2 	22 	10 	18 	5 	3 	9 	14 	8 	20 	4 	17 	23 	19 	6 	7 	12 	118
autoTest 	 dot-jump 	 False 	 2 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 -4.10403952609 	 4.10403952609 	 -4.10403952609 	 4.10403952609 	 True 	 10 	 10 	5 	20 	14 	11 	8 	16 	2 	24 	7 	12 	4 	10 	17 	23 	9 	21 	19 	1 	6 	13 	15 	18 	22 	3 	108
autoTest 	 dot-jump 	 False 	 3 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 17 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 -2.90199417916 	 True 	 10 	 10 	12 	1 	9 	4 	11 	18 	15 	5 	14 	19 	17 	7 	13 	20 	24 	3 	22 	16 	10 	6 	23 	8 	21 	2 	114
autoTest 	 dot-jump 	 False 	 4 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 24 	 1.50218272469 	 5.60622225078 	 1.50218272469 	 5.60622225078 	 1.50218272469 	 5.60622225078 	 True 	 10 	 10 	3 	15 	13 	5 	16 	6 	17 	20 	21 	1 	24 	8 	14 	4 	9 	12 	23 	2 	10 	22 	19 	18 	7 	11 	106
autoTest 	 dot-jump 	 False 	 5 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 3 	 -2.90199417916 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 True 	 10 	 10 	6 	22 	24 	23 	16 	20 	8 	21 	18 	1 	3 	10 	9 	12 	13 	17 	15 	2 	5 	14 	7 	19 	11 	4 	106
autoTest 	 dot-jump 	 False 	 6 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 13 	 0.0 	 -5.80398835832 	 0.0 	 -5.80398835832 	 0.0 	 -5.80398835832 	 True 	 10 	 10 	5 	2 	1 	4 	7 	8 	23 	10 	15 	14 	13 	22 	24 	11 	16 	18 	3 	17 	6 	19 	9 	21 	12 	20 	108
autoTest 	 dot-jump 	 False 	 7 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 23 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 True 	 10 	 10 	24 	14 	1 	2 	15 	20 	21 	5 	16 	13 	23 	10 	6 	9 	19 	8 	12 	7 	18 	11 	17 	22 	3 	4 	105
autoTest 	 dot-jump 	 False 	 8 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 15 	 2.90199417916 	 -5.02640136157 	 2.90199417916 	 -5.02640136157 	 2.90199417916 	 -5.02640136157 	 True 	 10 	 10 	4 	13 	7 	22 	21 	16 	5 	9 	11 	8 	15 	24 	14 	17 	20 	18 	10 	1 	19 	2 	3 	23 	6 	12 	107
autoTest 	 dot-jump 	 False 	 9 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 15 	 2.90199417916 	 -5.02640136157 	 2.90199417916 	 -5.02640136157 	 2.90199417916 	 -5.02640136157 	 True 	 10 	 10 	18 	11 	24 	22 	19 	8 	1 	2 	6 	17 	15 	5 	13 	16 	14 	21 	20 	10 	3 	23 	9 	7 	4 	12 	114
autoTest 	 dot-jump 	 False 	 10 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 15 	 2.90199417916 	 -5.02640136157 	 2.90199417916 	 -5.02640136157 	 2.90199417916 	 -5.02640136157 	 True 	 10 	 10 	3 	21 	23 	4 	6 	1 	11 	9 	16 	24 	15 	5 	12 	2 	14 	20 	19 	22 	10 	7 	13 	17 	18 	8 	111
autoTest 	 dot-jump 	 False 	 11 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 12 	 -1.50218272469 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 True 	 10 	 10 	11 	8 	6 	5 	1 	24 	22 	17 	13 	3 	12 	23 	20 	21 	2 	10 	9 	18 	14 	7 	16 	15 	19 	4 	95
autoTest 	 dot-jump 	 False 	 12 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 5 	 -5.02640136157 	 2.90199417916 	 -5.02640136157 	 2.90199417916 	 -5.02640136157 	 2.90199417916 	 True 	 10 	 10 	21 	7 	11 	22 	23 	15 	16 	17 	12 	6 	5 	2 	4 	24 	14 	1 	13 	19 	18 	10 	9 	8 	20 	3 	96
autoTest 	 dot-jump 	 False 	 13 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 5 	 -5.02640136157 	 2.90199417916 	 -5.02640136157 	 2.90199417916 	 -5.02640136157 	 2.90199417916 	 True 	 10 	 10 	21 	4 	13 	22 	14 	17 	2 	23 	12 	1 	5 	18 	9 	10 	20 	8 	16 	15 	11 	19 	3 	6 	7 	24 	101
autoTest 	 dot-jump 	 False 	 14 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 24 	 1.50218272469 	 5.60622225078 	 1.50218272469 	 5.60622225078 	 1.50218272469 	 5.60622225078 	 True 	 10 	 10 	18 	21 	22 	12 	15 	20 	10 	13 	11 	5 	24 	9 	2 	14 	3 	4 	17 	23 	6 	16 	19 	7 	1 	8 	93
