subject 	task 	staircase 	trialNum 	stimulus 	monitorWidth 	monitorHeight 	stimSize 	ISI 	SOA 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
autoTest 	 dot-jump 	 False 	 0 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 23 	 2.90199417916 	 5.02640136157 	 -5.60622225078 	 1.50218272469 	 2.90199417916 	 5.02640136157 	 False 	 12 	 10 	12 	17 	16 	22 	1 	13 	10 	8 	14 	24 	6 	4 	23 	21 	19 	11 	5 	18 	9 	2 	20 	3 	15 	7 	106
autoTest 	 dot-jump 	 False 	 1 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 14 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 True 	 10 	 10 	21 	3 	1 	5 	12 	22 	6 	4 	13 	10 	14 	7 	18 	15 	24 	8 	19 	23 	17 	2 	11 	20 	16 	9 	113
autoTest 	 dot-jump 	 False 	 2 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 5 	 -5.02640136157 	 2.90199417916 	 -5.60622225078 	 1.50218272469 	 -5.02640136157 	 2.90199417916 	 False 	 23 	 10 	24 	22 	3 	2 	4 	8 	1 	13 	20 	15 	6 	9 	12 	7 	23 	16 	11 	14 	17 	18 	19 	21 	10 	5 	103
autoTest 	 dot-jump 	 False 	 3 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 12 	 -1.50218272469 	 -5.60622225078 	 5.02640136157 	 2.90199417916 	 -1.50218272469 	 -5.60622225078 	 False 	 7 	 10 	6 	22 	13 	9 	20 	15 	7 	12 	23 	16 	21 	8 	10 	18 	17 	3 	19 	24 	1 	4 	11 	5 	2 	14 	108
autoTest 	 dot-jump 	 False 	 4 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 12 	 -1.50218272469 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 True 	 10 	 10 	23 	5 	1 	6 	21 	14 	16 	4 	13 	15 	12 	20 	8 	24 	19 	11 	18 	2 	22 	7 	9 	10 	17 	3 	110
autoTest 	 dot-jump 	 False 	 5 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 2 	 -1.50218272469 	 5.60622225078 	 4.10403952609 	 -4.10403952609 	 -1.50218272469 	 5.60622225078 	 False 	 19 	 10 	10 	12 	7 	24 	23 	1 	15 	9 	11 	4 	16 	5 	22 	18 	21 	19 	20 	8 	13 	2 	14 	6 	17 	3 	111
autoTest 	 dot-jump 	 False 	 6 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 11 	 -2.90199417916 	 -5.02640136157 	 5.02640136157 	 -2.90199417916 	 -2.90199417916 	 -5.02640136157 	 False 	 11 	 10 	24 	15 	2 	6 	21 	14 	16 	9 	1 	7 	17 	11 	13 	18 	10 	23 	12 	8 	3 	5 	4 	22 	20 	19 	106
autoTest 	 dot-jump 	 False 	 7 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 17 	 5.02640136157 	 -2.90199417916 	 -1.50218272469 	 -5.60622225078 	 5.02640136157 	 -2.90199417916 	 False 	 15 	 10 	2 	11 	24 	9 	15 	14 	3 	22 	6 	18 	12 	21 	23 	5 	10 	17 	20 	16 	8 	19 	13 	1 	4 	7 	106
autoTest 	 dot-jump 	 False 	 8 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 23 	 2.90199417916 	 5.02640136157 	 0.0 	 -5.80398835832 	 2.90199417916 	 5.02640136157 	 False 	 18 	 10 	22 	17 	21 	18 	12 	11 	9 	3 	20 	1 	13 	14 	4 	5 	15 	19 	16 	2 	23 	6 	7 	10 	24 	8 	105
autoTest 	 dot-jump 	 False 	 9 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 20 	 5.60622225078 	 1.50218272469 	 -4.10403952609 	 -4.10403952609 	 5.60622225078 	 1.50218272469 	 False 	 11 	 10 	16 	6 	4 	18 	9 	14 	3 	24 	21 	15 	10 	20 	12 	23 	1 	19 	17 	7 	22 	11 	2 	5 	13 	8 	109
