15	15	11	11	3	17	1	2	21	12	19	18	24	13	15	5	9	8	7	4	6	23	22	16	10	20	11	14
20	20	11	11	12	19	7	23	11	1	5	4	24	15	20	18	21	10	9	8	6	2	3	13	17	16	14	22
21	21	11	11	19	17	15	1	4	13	18	11	20	14	21	8	3	2	9	10	12	6	22	7	16	5	23	24
5	5	11	11	1	21	13	24	6	7	20	4	15	10	5	16	8	12	17	19	11	18	2	14	3	22	9	23
22	22	11	11	14	13	11	17	1	3	18	15	8	2	22	20	19	21	7	24	16	12	5	10	4	9	23	6
19	19	11	11	12	17	9	8	15	24	21	7	23	3	19	11	5	2	20	18	10	4	16	1	14	22	13	6
17	17	11	11	14	22	24	12	23	1	11	7	3	13	17	5	18	2	10	9	4	6	20	21	19	8	15	16
2	2	11	11	18	11	17	16	15	22	24	14	21	12	2	3	10	20	6	9	1	4	19	23	8	5	7	13
23	23	11	11	5	16	2	20	14	7	13	1	3	15	23	22	12	19	10	8	17	11	4	24	21	9	18	6
3	3	11	11	11	15	23	5	24	13	21	9	10	4	3	2	14	17	12	19	6	20	1	18	22	8	7	16
24	24	11	11	6	17	12	7	11	23	1	21	15	2	24	14	3	4	8	10	5	16	13	18	22	20	19	9
21	21	11	11	9	23	3	18	24	19	6	4	2	22	21	7	14	10	16	5	11	12	17	15	1	20	13	8
2	2	11	11	15	13	23	18	12	21	20	11	14	8	2	24	7	17	19	9	3	16	10	1	6	5	4	22
1	1	11	11	6	2	5	4	3	18	19	22	14	24	1	8	16	10	15	7	11	17	21	9	13	23	12	20
11	11	11	11	24	21	20	3	14	16	6	23	22	15	11	19	9	12	7	18	4	8	1	2	10	17	13	5
4	4	11	11	22	11	24	15	23	16	13	7	8	18	4	17	9	3	2	21	6	14	5	10	19	20	1	12
16	16	11	11	13	4	14	23	1	20	17	8	15	22	16	18	7	19	12	10	5	24	2	21	11	3	9	6
14	14	11	11	4	24	5	22	21	3	15	8	20	2	14	13	23	16	1	19	6	9	17	10	18	7	11	12
18	18	11	11	24	15	19	22	5	2	21	3	6	13	18	20	10	23	16	7	17	8	14	4	9	1	12	11
10	10	11	11	17	21	1	22	16	12	2	5	19	15	10	14	3	20	13	7	8	9	11	4	18	6	24	23
11	11	11	11	9	24	14	1	6	20	2	15	10	7	11	22	12	23	13	16	4	17	18	3	21	19	5	8
20	20	11	11	15	13	16	7	8	14	9	24	4	6	20	5	12	2	3	23	11	1	17	18	19	21	22	10
20	20	11	11	17	10	12	22	13	4	19	24	9	8	20	14	18	11	6	1	16	21	23	7	2	3	5	15
16	16	11	11	7	23	13	5	11	22	17	14	12	24	16	9	8	6	10	15	2	20	19	18	21	1	4	3
7	7	11	11	5	15	13	3	8	10	18	23	4	22	7	16	9	21	24	17	11	20	12	6	19	2	14	1
9	9	11	11	23	1	12	2	6	8	7	10	5	17	9	16	3	18	11	22	21	15	14	13	19	24	4	20
16	16	11	11	3	13	10	7	14	2	24	6	23	9	16	4	8	5	22	17	12	11	18	19	1	21	20	15
17	17	11	11	3	16	21	19	14	24	10	23	5	7	17	12	15	1	9	18	20	22	11	4	13	8	6	2
11	11	11	11	16	12	20	7	4	6	19	9	8	5	11	15	2	13	14	17	24	22	23	3	21	1	10	18
22	22	11	11	11	2	8	9	16	12	6	4	10	18	22	13	3	1	21	14	20	19	5	7	17	15	23	24
2	2	11	11	19	7	1	20	4	8	14	22	21	6	2	12	10	13	9	18	17	15	3	5	11	24	16	23
9	9	11	11	22	23	7	11	19	5	3	15	2	8	9	24	6	4	17	10	18	14	13	20	12	21	16	1
15	15	11	11	13	2	6	21	23	10	12	14	1	18	15	19	16	17	5	3	20	9	11	7	24	22	4	8
10	10	11	11	16	8	3	4	11	6	17	23	15	9	10	12	5	14	21	22	7	18	19	24	2	13	20	1
4	4	11	11	23	15	8	7	21	19	1	22	9	5	4	10	12	2	16	17	11	3	18	6	24	13	14	20
8	8	11	11	14	13	7	23	12	16	4	9	18	17	8	21	2	15	5	1	19	3	22	10	6	11	24	20
12	12	11	11	7	6	24	4	18	16	11	21	19	9	12	3	10	13	20	23	15	8	2	1	14	5	22	17
7	7	11	11	10	22	8	3	16	17	15	4	11	14	7	6	9	19	18	21	24	1	23	2	12	20	5	13
15	15	11	11	17	18	14	3	24	4	22	21	13	1	15	20	5	7	11	23	2	8	6	12	10	9	19	16
19	19	11	11	23	17	13	1	3	11	9	22	15	10	19	4	16	8	21	18	2	24	20	5	12	6	14	7
16	16	11	11	10	13	24	19	7	3	6	22	8	23	16	1	14	4	15	17	11	12	9	20	5	2	18	21
20	20	11	11	24	7	4	14	3	21	5	23	18	10	20	17	22	1	12	8	19	6	13	9	15	11	2	16
16	16	11	11	14	21	17	11	4	3	2	19	13	15	16	24	5	20	7	22	6	12	8	23	18	1	10	9
