"T1-P"	"T1-repP"	"T1-T"	"T1-repT"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
22	1.00000000000107	16	2	5	20	14	4	8	16	24	13	21	6	3	17	2	12	23	19	15	9	1	11	22	18	7	10
22	13.0000000000011	10	11	18	2	10	4	23	13	19	11	15	6	21	1	17	3	22	16	12	7	8	24	9	20	5	14
2	24	15	7	19	15	1	21	10	22	17	16	6	4	5	23	11	14	12	13	18	8	7	2	24	9	3	20
2	6	13	18	19	18	4	24	9	16	1	15	11	21	14	12	7	6	17	23	13	2	3	8	20	22	5	10
3	13.0000000000011	19	13	9	2	5	19	8	4	22	24	23	13	17	11	12	1	15	6	10	16	21	7	18	20	14	3
20	3	11	17	9	11	12	6	15	21	16	17	7	23	5	10	22	18	24	20	14	1	4	19	8	2	13	3
5	13.0000000000011	23	22	9	24	16	5	17	4	23	10	2	12	3	7	22	20	11	18	8	13	15	19	6	1	21	14
3	7.00000000000107	1	3	21	18	24	5	2	3	8	6	13	15	20	1	10	12	9	19	23	16	17	7	14	11	22	4
13	1.00000000000107	8	9	14	7	17	5	9	10	8	18	20	16	1	19	13	24	22	2	12	4	11	3	6	21	23	15
14	7.00000000000107	3	6	19	23	3	22	11	13	16	14	9	2	6	15	21	10	7	8	12	5	4	1	20	24	18	17
12	12	9	7	14	20	23	15	8	22	19	21	7	1	9	17	13	12	6	18	10	4	2	5	3	11	24	16
13	2.000000000001	7	23	11	19	17	1	5	8	2	10	24	7	3	13	12	15	18	14	20	9	16	22	6	4	21	23
10	13.0000000000011	12	10	6	21	2	11	14	19	7	17	18	3	4	23	24	1	16	8	10	9	15	5	20	22	13	12
24	14.000000000001	5	9	22	5	8	18	9	17	20	10	14	24	16	13	6	15	3	21	19	12	7	4	2	1	11	23
10	15.999999999999	21	2	14	10	22	15	3	23	13	6	18	16	20	9	2	12	7	24	1	8	17	19	11	21	4	5
20	8.000000000001	20	23	20	5	12	7	21	11	24	14	17	4	8	10	13	3	15	22	1	23	6	16	9	19	18	2
13	1.00000000000107	18	8	1	12	11	9	20	4	18	19	10	14	2	6	24	21	17	5	8	16	15	7	22	3	13	23
14	22.9999999999989	4	17	12	18	5	4	16	13	24	3	14	20	6	15	21	17	23	11	8	2	19	9	7	22	10	1
8	14.000000000001	6	7	11	6	5	1	14	18	21	13	17	7	8	15	19	4	3	20	22	12	23	2	16	9	24	10
20	16.9999999999989	22	23	19	13	20	12	24	22	5	9	3	18	15	17	8	21	2	6	16	14	23	4	10	1	11	7
24	10.9999999999989	2	14	23	11	15	7	13	16	24	1	22	5	14	3	17	4	9	2	8	19	18	21	20	6	10	12
16	12	14	13	6	13	14	9	15	1	20	10	7	22	4	5	21	8	23	3	12	17	16	2	18	24	19	11
1	13.0000000000011	17	7	8	11	9	13	12	10	6	5	2	4	18	16	22	20	24	19	14	23	7	17	3	1	15	21
17	20.000000000001	24	3	7	4	3	21	17	13	10	9	20	14	24	23	16	18	6	5	1	22	19	2	15	8	12	11
8	1.00000000000107	2	16	14	5	7	16	6	2	8	15	12	4	3	9	10	11	21	1	13	19	17	22	24	20	18	23
1	8.000000000001	23	24	12	9	4	1	7	23	14	24	18	8	5	16	6	11	13	20	17	10	21	19	3	15	2	22
22	15.999999999999	1	21	24	13	10	1	14	22	19	23	7	3	8	2	9	12	6	4	16	5	18	20	15	17	11	21
20	4.99999999999893	6	2	7	19	12	14	18	23	4	9	13	16	20	5	6	11	1	22	3	10	17	24	2	21	15	8
18	18	13	16	13	20	7	12	17	9	14	22	23	4	24	21	3	8	5	16	19	18	10	6	11	15	2	1
23	21.999999999999	5	22	2	17	21	24	12	18	19	10	22	23	5	9	13	15	6	8	4	3	16	11	7	14	1	20
4	12	17	16	16	5	14	21	3	1	12	18	9	13	23	7	20	22	6	15	8	2	19	11	17	4	10	24
20	24	15	13	7	24	9	15	3	2	11	16	4	6	18	12	17	13	1	8	14	23	10	20	19	21	5	22
12	21	22	6	6	18	12	22	23	10	14	3	7	5	20	15	8	11	24	4	1	13	9	16	2	19	17	21
1	15.999999999999	12	17	6	23	2	15	3	9	16	7	20	4	21	22	12	19	11	8	1	17	14	18	10	13	5	24
24	12	3	15	1	22	2	4	15	3	9	24	19	12	8	21	20	14	11	13	16	7	18	17	10	5	23	6
3	7.00000000000107	8	2	21	10	13	9	8	14	6	17	22	23	2	18	3	12	5	11	4	7	24	20	19	16	1	15
17	18	20	17	17	18	6	10	22	24	7	12	15	20	1	3	16	21	8	23	4	5	13	2	19	11	9	14
18	1.00000000000107	19	4	13	5	20	6	11	14	16	21	24	9	23	2	3	17	1	12	22	10	8	15	19	7	4	18
10	13.0000000000011	16	17	12	20	11	15	22	8	4	3	21	7	2	19	18	13	24	6	14	1	23	17	10	16	9	5
2	15	10	12	7	1	21	4	11	8	22	16	12	20	13	18	3	15	2	5	14	9	6	10	19	23	17	24
16	13.0000000000011	9	9	19	2	10	6	11	24	14	20	21	23	8	18	17	16	4	15	7	5	1	12	22	3	9	13
10	16.9999999999989	11	10	8	5	16	7	14	24	4	6	17	9	3	2	18	15	12	10	23	11	1	19	13	22	20	21
9	24	4	11	3	24	10	5	7	1	19	15	9	22	12	2	16	20	4	23	21	18	11	6	17	14	13	8
13	12	21	17	5	13	6	15	3	22	8	16	11	1	12	7	4	21	23	14	10	9	19	24	2	17	20	18
13	12	18	17	1	6	20	24	2	12	10	11	15	14	19	9	23	4	8	18	5	21	3	22	7	17	13	16
13	13.0000000000011	24	21	9	16	1	20	13	15	8	4	5	12	10	24	3	17	7	23	18	14	2	11	6	19	22	21
18	22.9999999999989	14	18	8	3	16	11	20	13	19	1	9	12	10	24	23	17	7	4	14	2	18	21	6	5	22	15
19	16.9999999999989	7	9	6	24	9	18	3	17	5	16	8	22	13	19	4	12	2	1	20	10	7	14	11	21	15	23
20	6	12	14	24	12	1	14	11	4	16	19	23	8	17	13	18	3	9	7	20	10	5	2	22	6	21	15
