subject 	task 	staircase 	trialNum 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
autoTest 	 dot-jump 	 False 	 0 	 1.03527618041 	 -3.86370330516 	 1.03527618041 	 -3.86370330516 	 1.03527618041 	 -3.86370330516 	 True 	 10 	 10 	7 	21 	5 	6 	1 	16 	23 	22 	4 	17 	19 	9 	13 	12 	11 	8 	10 	3 	2 	20 	14 	0 	15 	18 	119
autoTest 	 dot-jump 	 False 	 1 	 4.0 	 0.0 	 4.0 	 0.0 	 4.0 	 0.0 	 True 	 10 	 10 	16 	23 	11 	3 	15 	5 	9 	8 	4 	19 	0 	22 	1 	14 	13 	12 	10 	6 	7 	17 	21 	20 	18 	2 	119
autoTest 	 dot-jump 	 False 	 2 	 3.86370330516 	 1.03527618041 	 3.86370330516 	 1.03527618041 	 3.86370330516 	 1.03527618041 	 True 	 10 	 10 	23 	21 	19 	5 	8 	17 	22 	15 	0 	18 	1 	12 	7 	6 	13 	14 	16 	10 	2 	11 	20 	9 	3 	4 	119
autoTest 	 dot-jump 	 False 	 3 	 -2.82842712475 	 2.82842712475 	 -2.82842712475 	 2.82842712475 	 -2.82842712475 	 2.82842712475 	 True 	 10 	 10 	5 	1 	17 	4 	10 	11 	0 	8 	19 	14 	9 	20 	12 	16 	21 	23 	15 	22 	6 	18 	7 	2 	13 	3 	119
autoTest 	 dot-jump 	 False 	 4 	 3.46410161514 	 2.0 	 3.46410161514 	 2.0 	 3.46410161514 	 2.0 	 True 	 10 	 10 	18 	17 	15 	21 	5 	7 	22 	19 	12 	6 	2 	0 	23 	1 	11 	4 	20 	16 	9 	14 	8 	13 	3 	10 	119
autoTest 	 dot-jump 	 False 	 5 	 3.86370330516 	 -1.03527618041 	 3.86370330516 	 -1.03527618041 	 3.86370330516 	 -1.03527618041 	 True 	 10 	 10 	16 	21 	13 	12 	19 	4 	1 	11 	3 	7 	23 	15 	9 	6 	0 	22 	14 	8 	20 	5 	18 	2 	17 	10 	119
autoTest 	 dot-jump 	 False 	 6 	 2.82842712475 	 -2.82842712475 	 2.82842712475 	 -2.82842712475 	 2.82842712475 	 -2.82842712475 	 True 	 10 	 10 	18 	2 	4 	16 	3 	5 	15 	11 	7 	17 	21 	9 	22 	6 	14 	13 	8 	10 	0 	1 	23 	12 	19 	20 	119
autoTest 	 dot-jump 	 False 	 7 	 0.0 	 4.0 	 0.0 	 4.0 	 0.0 	 4.0 	 True 	 10 	 10 	22 	15 	21 	20 	19 	2 	4 	18 	1 	16 	6 	7 	14 	0 	10 	13 	5 	8 	23 	3 	12 	9 	11 	17 	119
autoTest 	 dot-jump 	 False 	 8 	 2.82842712475 	 2.82842712475 	 2.82842712475 	 2.82842712475 	 2.82842712475 	 2.82842712475 	 True 	 10 	 10 	9 	20 	6 	0 	18 	11 	17 	5 	7 	19 	3 	2 	16 	23 	14 	12 	21 	15 	8 	4 	1 	13 	22 	10 	119
autoTest 	 dot-jump 	 False 	 9 	 -1.03527618041 	 3.86370330516 	 -1.03527618041 	 3.86370330516 	 -1.03527618041 	 3.86370330516 	 True 	 10 	 10 	15 	19 	3 	9 	4 	17 	1 	13 	14 	8 	7 	6 	18 	21 	16 	23 	10 	0 	5 	22 	2 	12 	11 	20 	119
autoTest 	 dot-jump 	 False 	 10 	 2.0 	 3.46410161514 	 2.0 	 3.46410161514 	 2.0 	 3.46410161514 	 True 	 10 	 10 	10 	21 	16 	11 	15 	3 	5 	1 	19 	6 	4 	18 	7 	8 	12 	14 	9 	20 	17 	22 	2 	0 	23 	13 	119
autoTest 	 dot-jump 	 False 	 11 	 3.86370330516 	 1.03527618041 	 3.86370330516 	 1.03527618041 	 3.86370330516 	 1.03527618041 	 True 	 10 	 10 	13 	3 	7 	22 	4 	23 	10 	8 	6 	2 	1 	11 	18 	14 	20 	9 	15 	16 	21 	19 	5 	0 	17 	12 	119
autoTest 	 dot-jump 	 False 	 12 	 0.0 	 4.0 	 0.0 	 4.0 	 0.0 	 4.0 	 True 	 10 	 10 	19 	17 	3 	22 	16 	1 	0 	15 	18 	12 	6 	4 	11 	21 	23 	13 	7 	20 	14 	5 	10 	9 	8 	2 	119
autoTest 	 dot-jump 	 False 	 13 	 1.03527618041 	 3.86370330516 	 1.03527618041 	 3.86370330516 	 1.03527618041 	 3.86370330516 	 True 	 10 	 10 	10 	6 	9 	8 	7 	22 	23 	2 	18 	4 	5 	12 	20 	14 	19 	11 	15 	21 	1 	13 	17 	3 	16 	0 	119
autoTest 	 dot-jump 	 False 	 14 	 -2.82842712475 	 -2.82842712475 	 -2.82842712475 	 -2.82842712475 	 -2.82842712475 	 -2.82842712475 	 True 	 10 	 10 	4 	1 	0 	7 	18 	20 	10 	3 	2 	19 	15 	23 	13 	16 	11 	22 	8 	12 	5 	6 	14 	21 	17 	9 	119
autoTest 	 dot-jump 	 False 	 15 	 -2.0 	 3.46410161514 	 -2.0 	 3.46410161514 	 -2.0 	 3.46410161514 	 True 	 10 	 10 	2 	15 	4 	19 	3 	20 	17 	11 	12 	22 	8 	21 	13 	7 	6 	1 	10 	18 	9 	14 	23 	0 	5 	16 	119
autoTest 	 dot-jump 	 False 	 16 	 2.0 	 -3.46410161514 	 2.0 	 -3.46410161514 	 2.0 	 -3.46410161514 	 True 	 10 	 10 	17 	8 	18 	3 	5 	0 	21 	12 	19 	2 	20 	22 	11 	23 	16 	14 	9 	4 	6 	1 	15 	7 	13 	10 	119
autoTest 	 dot-jump 	 False 	 17 	 0.0 	 -4.0 	 0.0 	 -4.0 	 0.0 	 -4.0 	 True 	 10 	 10 	8 	4 	9 	2 	1 	7 	19 	12 	0 	6 	18 	17 	3 	20 	5 	23 	10 	13 	21 	14 	22 	11 	15 	16 	119
autoTest 	 dot-jump 	 False 	 18 	 3.46410161514 	 -2.0 	 3.46410161514 	 -2.0 	 3.46410161514 	 -2.0 	 True 	 10 	 10 	4 	19 	23 	2 	9 	6 	1 	7 	10 	17 	22 	0 	14 	3 	20 	11 	21 	12 	18 	8 	13 	5 	16 	15 	119
autoTest 	 dot-jump 	 False 	 19 	 -3.46410161514 	 -2.0 	 -3.46410161514 	 -2.0 	 -3.46410161514 	 -2.0 	 True 	 10 	 10 	21 	1 	5 	2 	20 	16 	6 	9 	23 	19 	14 	18 	7 	0 	17 	11 	12 	13 	15 	8 	22 	10 	4 	3 	119
